Category,Section,Description,length,Example write-up,Your Response
General Information,System Name,State the full name of the AI system,<20 words,SmartAid Clinical Triage Assistant — an AI-powered clinical support system for risk scoring and preliminary assessment in emergency departments.,"booksy - an AI-powered collaborative storytelling platform for families to co-create interactive, multimedia storybooks together."
,Versioning Information,"Provide the date of the initial release, current version number, latest update date, and a brief explanation of your version tracking method (e.g., semantic versioning, Git tag). Clarify how major changes are documented or reviewed for compliance impacts.",40–60 words,"SmartAid was first released on 2023-04-10. The current version is 2.3, last updated on 2024-12-20. Version tracking is maintained via Git with semantic versioning. Major changes are flagged for review by the compliance and quality assurance committee, and version logs are retained to assess regulatory and risk impacts over time.","booksy was first released on 2025-02-15. The current version is 1.0. Version tracking is maintained using GitHub with semantic versioning through tags. While we do not yet have formal release notes, all commits are tracked in GitHub, and major changes are reviewed collaboratively within the team before merging."
,Primary Developer/Org,"List the individual or organization primarily responsible for the development and deployment of the system. If different entities manage operations, indicate that relationship",20–30 words,"Developed and maintained by MediSense AI Inc. in Vancouver, Canada. Operational deployment is managed in partnership with regional health authorities and certified clinical IT providers.","Developed and maintained by a collaborative team of students and developers from UBC, Stanford, and UW. The system is independently operated and deployed by the project team."
,Contact Information,Include an up-to-date email address and optionally a phone number or mailing address of the organization or individual accountable for the system. This contact should be able to respond to compliance inquiries or incident reports.,10–20 words,"Contact: compliance@medisense.ai. For urgent regulatory matters, call +1-604-555-1234 during business hours (Pacific Time).","Contact: vs301vs@gmail.com. For urgent regulatory matters, call +1-604-841-3588 during business hours (Pacific Time)."
,System Overview,"Summarize the system's architecture, core components (e.g., model, APIs, databases), and technical functionality. Include whether the system is based on general-purpose AI models or tailored algorithms. Note if it operates autonomously or under human supervision.",40–60 words,"SmartAid integrates a large language model (for symptom parsing), a logistic regression model (for triage scoring), and secure APIs for EHR integration. It operates in real-time, under direct supervision by clinical staff. While it automates risk estimation, final decision-making is always performed by a licensed human practitioner.","booksy is a single-page web application built with React and powered by a Node.js backend. It integrates Groq-hosted Llama-70B for real-time story generation, LumaLabs’ Photon model for illustrations, and ElevenLabs for narration. Supabase manages data storage and authentication. The system operates interactively under direct human supervision, with families guiding story progression collaboratively."
Intended Use,Primary intended uses,"List the specific contexts, user needs, or operational environments for which the system was designed. Include the kinds of decisions, predictions, or outputs the system generates, and what user action (if any) it supports.",30–50 words,"SmartAid is designed for use in hospital emergency departments to support triage nurses by generating risk scores and suggesting differential diagnoses. It analyzes patient-reported symptoms alongside historical EHR data and assists with prioritization and resource allocation decisions, without replacing clinical judgment.","booksy is designed for families seeking meaningful, creative bonding experiences. It enables parents and children to co-create interactive storybooks by generating narratives, illustrations, and voiceovers in real time. The system supports collaborative decision-making through choose-your-own-adventure storytelling and preserves outputs as digital keepsakes for future reliving and sharing."
,Primary intended users,"Identify the primary audience or actors meant to operate, interact with, or rely on the system (e.g., clinicians, consumers, analysts). Clarify the level of expertise or training expected for responsible use.",25–35 words,SmartAid is intended for use by licensed emergency physicians and triage nurses with certified training on the system. Users must understand AI-assisted clinical decision tools and comply with institutional oversight protocols.,"booksy is intended for parents, children, and families who wish to create and share interactive stories together. No technical expertise or training is required—its child-friendly, intuitive design ensures responsible use by all ages."
,Out-of-scope use cases,"Describe any uses, domains, or environments where the system is not intended to be applied. Include foreseeable misuse scenarios that may raise safety, fairness concerns. These may include domains where the system is technically unreliable, lacks sufficient safeguards, or would create unacceptable risks.",30–50 words,"SmartAid is not approved for use with pediatric patients, psychiatric evaluations, or for autonomous operation without clinician review. It is not intended for deployment in settings lacking integrated electronic health records or in jurisdictions where health data governance requirements are unmet.","booksy is not intended for educational assessment, therapeutic use, or replacing parental interaction. It should not be used to generate inappropriate, harmful, or offensive content. The system is unsuitable in environments without responsible adult supervision or where child privacy and data security cannot be ensured."
Existing Compliance Information,Terms and conditions,"Existing terms and conditions document: e.g.
Usage Terms, Limitations of Liability, License Type, Third-party, Dependencies,
Privacy and Data Handling, 
Compliance Acknowledgment",25–40 words,"Use of SmartAid Clinical Triage Assistant (""SmartAid"") is restricted to certified healthcare institutions and authorized medical professionals who have completed training on system operation and oversight. By using SmartAid, users agree to operate the system within its intended clinical triage context and in accordance with all applicable medical governance protocols.

SmartAid is provided under a non-transferable, institution-specific license. Redistribution, reverse engineering, or modification of the system is prohibited. MediSense AI Inc. retains all rights, title, and interest in the system and its associated intellectual property.

MediSense AI Inc. disclaims liability for clinical decisions made without human oversight or based solely on SmartAid's outputs. Users must verify all outputs before acting upon them. The system is not intended to replace qualified clinical judgment.

SmartAid processes patient data in accordance with the Personal Information Protection and Electronic Documents Act (PIPEDA), the Health Insurance Portability and Accountability Act (HIPAA), and the California Consumer Privacy Act (CCPA). Users are responsible for configuring appropriate access controls, logging, and data governance measures.

By activating SmartAid, users affirm their acceptance of these terms and their responsibility to uphold all ethical, legal, and data protection obligations in their jurisdiction.","Use of booksy is restricted to families and guardians for collaborative storytelling purposes. Users agree to operate the system responsibly, ensuring child privacy and supervising content creation. Redistribution, reverse engineering, or modification of the system is prohibited."
,Current legal compliance status,"Indicate the system’s current status with respect to compliance with relevant AI regulations or frameworks if the system has been evaluated. Include results of any internal/external assessments, risk classification (e.g., high-risk under EU AI Act or impact assessment under AIDA), known gaps, or pending remediation steps. Cite assessment methods or tools used.",30–50 words,SmartAid is classified as a high-risk AI system under the EU AI Act due to its clinical use. It has undergone conformity assessment under ISO/IEC 23894:2023. AIDA compliance review is underway with no identified critical gaps. Privacy impact assessments comply with CCPA and PIPEDA.,"booksy is not classified as a high-risk AI system under current AI regulations. No formal external compliance assessments have been conducted yet. Internal reviews ensure data privacy, child safety, and responsible content generation, with ongoing plans to evaluate adherence to emerging AI and child data protection guidelines."
