| Section | Content |
| ------- | ------- |
| System Name | AgriScan Crop Health Monitor — A multispectral image analysis tool for early-stage crop disease detection and yield forecasting. |
| Versioning Information | Initial release: 2022-06-15. Current version: 1.6. Last updated: 2024-11-01. Versions tracked via Git with semantic versioning. Major updates require impact review by a regulatory liaison and agronomic advisor panel. |
| Primary Developer/Org | Developed by Krishitech AI Labs Pvt. Ltd., based in Pune, India. Co-developed with Punjab Agricultural University. |
| Contact Info | support@krishitech.ai. +91-20-5555-1234. Compliance desk: dpdp@krishitech.ai |
| System Overview | AgriScan integrates convolutional neural networks (CNNs) trained on aerial imagery, a cloud-based inference API, and a mobile frontend for farmers. It autonomously analyzes drone and satellite data to assess crop health and predict disease outbreaks. |
| Primary intended uses | AgriScan is designed to assist farmers, agronomists, and agricultural extension workers in monitoring crop health, detecting pest/disease presence, and projecting yields. The system supports decisions on pesticide use, irrigation scheduling, and market timing. |
| Primary intended users | Smallholder and commercial farmers, government agricultural officers, and agribusiness consultants. Users receive training via local language mobile tutorials and regional onboarding workshops. |
| Out-of-scope use cases | Not intended for precision irrigation control or livestock monitoring. Not to be used for law enforcement (e.g., unauthorized surveillance of farmland). Not applicable in regions lacking consistent satellite/drone coverage. |
| Terms and conditions | AgriScan is licensed to verified agricultural cooperatives and extension programs. Personal data (e.g., GPS-tagged field photos) is processed only with user consent. Redistribution or resale of AI outputs is prohibited. Use must align with local data protection laws. AgriScan disclaims liability for losses from inaccurate disease forecasts and urges manual crop validation. The system avoids capturing facial or personal imagery and complies with India’s DPDP Act. Terms mandate adherence to responsible pesticide usage guidelines in advisory contexts. |
| Current legal compliance status | AgriScan aligns with India’s DPDP Act via field-level consent protocols and does not collect personal identifiers. Classified as moderate-risk under draft EU AI Act due to environmental impact implications. No violation identified during internal compliance audit (2024-Q2). |
| Dataset Description | Trained on 850,000 geotagged crop images from Indian agricultural districts (2017–2022), supplemented with publicly available NASA MODIS multispectral datasets. Includes rice, wheat, and cotton health indicators. Ground-truth validation by agronomists. |
| Collection Method | Image data was collected through government-approved drone programs, with farmer consent. Supplementary satellite data is public domain. Crop condition labels were annotated by university researchers. Images anonymized via geofencing at block—not individual plot—level. |
| Bias Mitigation Measures | To reduce regional bias, image samples were balanced across states and crop types. Annotator agreement was enforced (>90% consensus). Fairness checks ensured consistent model output for different soil and climate conditions. Monthly retraining adapts to monsoon and drought cycles. |
| Usage Constraints | Use restricted to Indian territory and authorized partners. Deployment in military zones or border areas is prohibited. API access throttled to prevent unauthorized scanning of private land. Users must verify their identity and field ownership before activation. |
| Summary of Performance Assessment | AgriScan achieved 93.1% F1-score for pest detection and 89.4% for disease classification in a 2023 Punjab dataset. Yield forecasts within ±7% error margin. Baseline comparison with human agronomists showed 15% improvement in early-stage identification. |
| Disaggregated Performance | Pest detection accuracy: Punjab (94.2%), Maharashtra (91.0%), Tamil Nadu (89.5%). Yield forecast slightly less accurate in hilly regions due to cloud interference. Continuous improvement tracked using region-tagged validation sets. |
| Testing Contexts | Tested in 30+ districts across 5 Indian states. Evaluated under variable lighting, humidity, and drone camera resolutions. Field trials conducted during both Rabi and Kharif seasons with real-time farmer feedback. |
| Evaluations for Edge Cases or Adversarial Inputs | Tested with blurred, night-time, and occluded images. Failure case: misclassifies nutrient deficiency as fungal infection during cloudy conditions. Added temporal smoothing and second-layer classifier for ambiguous diagnoses. |
| Potential Risks and Harms | Incorrect disease identification could cause pesticide misuse. Surveillance-like behavior if misused for scanning neighboring farms. Risk of yield misprediction under climate anomalies, impacting farmer decisions. |
| Actions taken | Added user warnings for low-confidence predictions. Introduced human-in-the-loop validation for high-risk pesticide suggestions. Periodic audits conducted with agricultural universities. Drone data usage is logged and reviewed quarterly. |
| Misuse Scenarios | Potential misuse includes scanning competitor fields or exaggerating yield estimates for insurance fraud. Prevented via geo-fencing, field ownership checks, and misuse detection alerts. User activity logs are monitored for anomalies. |
| Human Oversight | Agronomists review alerts for disease outbreaks. Farmers can manually override AI advice. Field staff validate drone footage and can flag anomalies via the mobile app. Compliance officers verify each model update before deployment. |
| Update Frequency | Retrained quarterly using new satellite and field data. Urgent updates (e.g., emerging pests) are fast-tracked within 2 weeks. Updates documented via changelogs and evaluated for fairness impact. DPDP compliance reviewed annually. |
