Category,Section,Description,length,Example write-up,Your Response
General Information,System Name,State the full name of the AI system,<20 words,SmartAid Clinical Triage Assistant — an AI-powered clinical support system for risk scoring and preliminary assessment in emergency departments.,"SafeRoute Vision — A road-hazard detection and routing assistant for cyclists and pedestrians. Uses multimodal signals (video + GPS + accelerometer) to identify unsafe zones, temporary obstacles, and visibility risks."
,Versioning Information,"Provide the date of the initial release, current version number, latest update date, and a brief explanation of your version tracking method (e.g., semantic versioning, Git tag). Clarify how major changes are documented or reviewed for compliance impacts.",40–60 words,"SmartAid was first released on 2023-04-10. The current version is 2.3, last updated on 2024-12-20. Version tracking is maintained via Git with semantic versioning. Major changes are flagged for review by the compliance and quality assurance committee, and version logs are retained to assess regulatory and risk impacts over time.",Initial release: 2023-03-12. Current version: 2.3. Last updated: 2025-10-20. Version tracking via GitLab with semantic versioning. Major releases undergo mandatory risk review by an external safety auditor and municipal transportation partner advisory board.
,Primary Developer/Org,"List the individual or organization primarily responsible for the development and deployment of the system. If different entities manage operations, indicate that relationship",20–30 words,"Developed and maintained by MediSense AI Inc. in Vancouver, Canada. Operational deployment is managed in partnership with regional health authorities and certified clinical IT providers.","Developed by UrbanMotion AI Inc., headquartered in Vancouver, Canada. Co-developed with UBC Safer Mobility Research Group and the City of Surrey Transportation Data Lab."
,Contact Info,Include an up-to-date email address and optionally a phone number or mailing address of the organization or individual accountable for the system. This contact should be able to respond to compliance inquiries or incident reports.,10–20 words,"Contact: compliance@medisense.ai. For urgent regulatory matters, call +1-604-555-1234 during business hours (Pacific Time).","support@urbanmotion.ai, safety@urbanmotion.ai. Phone: +1-604-880-4421. Data protection officer: dpo@urbanmotion.ai"
,System Overview,"Summarize the system's architecture, core components (e.g., model, APIs, databases), and technical functionality. Include whether the system is based on general-purpose AI models or tailored algorithms. Note if it operates autonomously or under human supervision.",40–60 words,"SmartAid integrates a large language model (for symptom parsing), a logistic regression model (for triage scoring), and secure APIs for EHR integration. It operates in real-time, under direct supervision by clinical staff. While it automates risk estimation, final decision-making is always performed by a licensed human practitioner.","SafeRoute Vision processes live mobile camera feeds combined with on-device IMU sensor data to classify road hazards (potholes, construction zones, low-visibility areas, sudden slope changes). The system also predicts near-term route safety using a spatiotemporal prediction model trained on 3 years of municipal incident logs."
Intended Purpose and Scope,Primary intended uses,"List the specific contexts, user needs, or operational environments for which the system was designed. Include the kinds of decisions, predictions, or outputs the system generates, and what user action (if any) it supports.",30–50 words,"SmartAid is designed for use in hospital emergency departments to support triage nurses by generating risk scores and suggesting differential diagnoses. It analyzes patient-reported symptoms alongside historical EHR data and assists with prioritization and resource allocation decisions, without replacing clinical judgment.","Provide cyclists and pedestrians with real-time alerts about unsafe road sections; assist transportation planners in mapping chronic risk zones; support community safety initiatives by generating aggregated, anonymized hazard heatmaps."
,Primary intended users,"Identify the primary audience or actors meant to operate, interact with, or rely on the system (e.g., clinicians, consumers, analysts). Clarify the level of expertise or training expected for responsible use.",25–35 words,SmartAid is intended for use by licensed emergency physicians and triage nurses with certified training on the system. Users must understand AI-assisted clinical decision tools and comply with institutional oversight protocols.,"Everyday cyclists, pedestrians, city planning analysts, transportation researchers, and bike-share program operators. A lightweight mode serves visually impaired users through audio feedback."
,Out-of-scope use cases,"Describe any uses, domains, or environments where the system is not intended to be applied. Include foreseeable misuse scenarios that may raise safety, fairness concerns. These may include domains where the system is technically unreliable, lacks sufficient safeguards, or would create unacceptable risks.",30–50 words,"SmartAid is not approved for use with pediatric patients, psychiatric evaluations, or for autonomous operation without clinician review. It is not intended for deployment in settings lacking integrated electronic health records or in jurisdictions where health data governance requirements are unmet.","Not designed for autonomous vehicle navigation, legal evidence generation, law enforcement surveillance, or continuous identity tracking. Not suitable for high-speed motor vehicle driving."
Existing doc,Terms and conditions,"Existing terms and conditions document: e.g.
Usage Terms, Limitations of Liability, License Type, Third-party, Dependencies,
Privacy and Data Handling, 
Compliance Acknowledgment",25–40 words,"Use of SmartAid Clinical Triage Assistant (""SmartAid"") is restricted to certified healthcare institutions and authorized medical professionals who have completed training on system operation and oversight. By using SmartAid, users agree to operate the system within its intended clinical triage context and in accordance with all applicable medical governance protocols.

SmartAid is provided under a non-transferable, institution-specific license. Redistribution, reverse engineering, or modification of the system is prohibited. MediSense AI Inc. retains all rights, title, and interest in the system and its associated intellectual property.

MediSense AI Inc. disclaims liability for clinical decisions made without human oversight or based solely on SmartAid's outputs. Users must verify all outputs before acting upon them. The system is not intended to replace qualified clinical judgment.

SmartAid processes patient data in accordance with the Personal Information Protection and Electronic Documents Act (PIPEDA), the Health Insurance Portability and Accountability Act (HIPAA), and the California Consumer Privacy Act (CCPA). Users are responsible for configuring appropriate access controls, logging, and data governance measures.

By activating SmartAid, users affirm their acceptance of these terms and their responsibility to uphold all ethical, legal, and data protection obligations in their jurisdiction.",Licensed under an annual subscription to municipalities and bike-share operators; free tier for individual users. All sensor data is processed locally unless users explicitly opt in to contribute anonymized hazard reports. Prohibits repurposing data for law enforcement or insurance evaluation. Complies with PIPEDA and BC FIPPA.
,Current legal compliance status,"Indicate the system’s current status with respect to compliance with relevant AI regulations or frameworks if the system has been evaluated. Include results of any internal/external assessments, risk classification (e.g., high-risk under EU AI Act or impact assessment under AIDA), known gaps, or pending remediation steps. Cite assessment methods or tools used.",30–50 words,SmartAid is classified as a high-risk AI system under the EU AI Act due to its clinical use. It has undergone conformity assessment under ISO/IEC 23894:2023. AIDA compliance review is underway with no identified critical gaps. Privacy impact assessments comply with CCPA and PIPEDA.,Classified as “high-risk” under draft EU AI Act criteria for mobility assistance tools. Undergoes quarterly privacy audits. No compliance violations found in the 2025-Q3 internal audit conducted with an external privacy law firm.
