| Section | Content |
| ------- | ------- |
| System Name | TerraWatch Environmental Monitoring AI — A satellite-based AI platform for ecosystem surveillance, emissions tracking, and climate risk forecasting. |
| Versioning Information | Released on 2022-05-05. Current version: 1.9. Last updated: 2024-11-15. Uses semantic versioning managed via GitHub Enterprise. Environmental and regulatory impact updates require cross-disciplinary review with audit logs retained under ISO 14001 standards. |
| Primary Developer/Org | Developed by TerraVision Analytics Pty Ltd., Melbourne. Supported by CSIRO (Commonwealth Scientific and Industrial Research Organisation) and UN Environmental Data Coalition. |
| Contact Info | climate@terrawatch.ai, +61-3-5555-0101, Privacy & Data Requests: dataprotection@terrawatch.ai |
| System Overview | TerraWatch processes real-time satellite imagery (Sentinel-2, Landsat 9) and remote sensor inputs through computer vision and geospatial ML models to detect deforestation, water loss, and GHG anomalies. Outputs feed into dashboards for NGOs, governments, and ESG auditors. |
| Primary intended uses | Designed for climate risk analysts, conservation NGOs, and environmental regulators to track ecological changes, monitor industrial emissions, and assess disaster zones. Supports compliance reporting under climate disclosure frameworks and ESG scoring. |
| Primary intended users | Environmental data scientists, policy agencies, climate task forces, and sustainability officers. Requires domain knowledge in remote sensing and ecological interpretation. Access via cloud dashboard or enterprise API. |
| Out-of-scope use cases | Not for military surveillance, private land litigation, or real-time disaster response without human interpretation. Cannot replace ground-based ecological assessments or be used as sole evidence in regulatory fines. |
| Terms and conditions | TerraWatch is licensed via NGO/government data-sharing agreements or corporate ESG subscription. Outputs must be validated by certified environmental assessors before being used in compliance filings. Imagery is sourced under open government licenses, but derived insights are proprietary. Misuse of outputs for political campaigning or real estate pricing is prohibited. |
| Current legal compliance status | Complies with the Australian Privacy Act through anonymized, aggregate-level reporting. Certified under EU AI Act Article 69 (environmental AI systems, moderate-risk). Optional CCPA disclosures included for multinational clients. System reviewed annually by external climate ethics board. |
| Dataset Description | Trained on over 5 petabytes of satellite and drone imagery (2016–2023), annotated by ecologists for deforestation, water bodies, carbon plume patterns, and land degradation. Includes open datasets (e.g., Copernicus) and field-verified validation samples. |
| Collection Method | Data sourced from open Earth observation programs and NGO-sponsored drone campaigns. Labeling conducted by climate scientists using standardized ecological criteria. Sensitive zones (e.g., indigenous lands) are excluded or blurred unless explicitly permitted. |
| Bias Mitigation Measures | Model performance is equalized across geography, vegetation types, and seasonal cycles. Regional accuracy targets enforced during training. Edge cases like wildfire aftermaths and coastal erosion receive extra scrutiny. Accuracy audits conducted quarterly across continents. |
| Usage Constraints | Restricted to civilian and nonprofit environmental work. Use in real estate pricing, private surveillance, or litigation is prohibited. High-resolution overlays disabled by default and require separate approval. Outputs carry disclaimers against unverified land-use decisions. |
| Summary of Performance Assessment | Deforestation detection precision: 94.3%. Wetland shrinkage tracking RMSE: 2.7%. Methane plume detection accuracy: 92.1%. Compared to baseline GIS workflows, TerraWatch achieved 31% faster analysis with 15% higher accuracy in deforestation alerts. |
| Disaggregated Performance | Region-specific F1-scores: Amazon Basin (91.8%), Great Barrier Reef coast (89.7%), Central Africa (92.4%). Performance slightly degraded in persistent cloud cover zones (e.g., Southeast Asia). |
| Testing Contexts | Evaluated against ground-truth field reports and existing government environmental records. Stress-tested with cloud-obscured and low-signal imagery. Simulated use in climate reporting, disaster assessments, and marine ecosystem monitoring. |
| Evaluations for Edge Cases or Adversarial Inputs | Evaluated against adversarial noise (e.g., cloud masking, urban interference). Added cross-band spectral validation to reduce false positives. Known edge case: temporary roadways misclassified as deforestation — corrected with multi-pass validation. |
| Potential Risks and Harms | Risk of misinterpreting false alerts in conservation enforcement. Potential overreliance in policymaking without on-site validation. Ethical risks if used to surveil protected or indigenous territories without consent. |
| Actions taken | Outputs require human ecological review before formal use. Indigenous land overlays are disabled by default. Alerts include confidence scores and require manual confirmation before dispatch. Policy impact simulations reviewed by interdisciplinary ethics board. |
| Misuse Scenarios | Misuse includes unauthorized use for property valuation, political manipulation, or private land surveillance. Prevented through TOS enforcement, usage logging, and domain-restricted API keys. |
| Human Oversight | All alerts are reviewed by assigned human assessors. Anomalies are triaged in workflow queues. Confidence ratings and change rationale are shown on visual overlays for expert review. Human feedback loops used to correct model drift. |
| Update Frequency | Satellite syncs daily; model retraining occurs every 4 months. Climate events (e.g., El Niño effects) trigger expedited retraining. ESG standards compliance updates rolled out monthly. Full audit logs preserved under ISO 27001 and 14001. |
