Category,Section,Description,length,Example write-up,Your Response
General Information,System Name,State the full name of the AI system,<20 words,SmartAid Clinical Triage Assistant — an AI-powered clinical support system for risk scoring and preliminary assessment in emergency departments.,"MedScript Clinical Summarizer — A transformer-based NLP system that condenses long-form clinical notes, lab reports, and patient histories into concise summaries for physician review."
,Versioning Information,"Provide the date of the initial release, current version number, latest update date, and a brief explanation of your version tracking method (e.g., semantic versioning, Git tag). Clarify how major changes are documented or reviewed for compliance impacts.",40–60 words,"SmartAid was first released on 2023-04-10. The current version is 2.3, last updated on 2024-12-20. Version tracking is maintained via Git with semantic versioning. Major changes are flagged for review by the compliance and quality assurance committee, and version logs are retained to assess regulatory and risk impacts over time.",Initial release: 2024-04-08. Current version: 1.4. Last updated: 2025-08-11. Version tracking through internal Git server. Major updates require clinical advisory review; minor updates may bypass full oversight under expedited medical workflow policy.
,Primary Developer/Org,"List the individual or organization primarily responsible for the development and deployment of the system. If different entities manage operations, indicate that relationship",20–30 words,"Developed and maintained by MediSense AI Inc. in Vancouver, Canada. Operational deployment is managed in partnership with regional health authorities and certified clinical IT providers.","Developed by HealthNova AI Systems, Toronto, Canada. Co-developed with two private hospital networks (names anonymized per partnership agreements)."
,Contact Info,Include an up-to-date email address and optionally a phone number or mailing address of the organization or individual accountable for the system. This contact should be able to respond to compliance inquiries or incident reports.,10–20 words,"Contact: compliance@medisense.ai. For urgent regulatory matters, call +1-604-555-1234 during business hours (Pacific Time).","support@healthnova.ai, clinical-ops@healthnova.ai. Phone: +1-437-551-8821. Privacy office: privacy@healthnova.ai"
,System Overview,"Summarize the system's architecture, core components (e.g., model, APIs, databases), and technical functionality. Include whether the system is based on general-purpose AI models or tailored algorithms. Note if it operates autonomously or under human supervision.",40–60 words,"SmartAid integrates a large language model (for symptom parsing), a logistic regression model (for triage scoring), and secure APIs for EHR integration. It operates in real-time, under direct supervision by clinical staff. While it automates risk estimation, final decision-making is always performed by a licensed human practitioner.","MedScript uses a domain-tuned LLM with structured medical reasoning modules to summarize key symptoms, recent interventions, medication changes, and potential red flags from clinical narratives. Operates on-premise within hospital EHR systems."
Intended Purpose and Scope,Primary intended uses,"List the specific contexts, user needs, or operational environments for which the system was designed. Include the kinds of decisions, predictions, or outputs the system generates, and what user action (if any) it supports.",30–50 words,"SmartAid is designed for use in hospital emergency departments to support triage nurses by generating risk scores and suggesting differential diagnoses. It analyzes patient-reported symptoms alongside historical EHR data and assists with prioritization and resource allocation decisions, without replacing clinical judgment.",Reduce clinician documentation burden; assist doctors during handoff procedures; provide quick overviews during emergency department triage; support retrospective chart reviews.
,Primary intended users,"Identify the primary audience or actors meant to operate, interact with, or rely on the system (e.g., clinicians, consumers, analysts). Clarify the level of expertise or training expected for responsible use.",25–35 words,SmartAid is intended for use by licensed emergency physicians and triage nurses with certified training on the system. Users must understand AI-assisted clinical decision tools and comply with institutional oversight protocols.,"Physicians, nurse practitioners, medical scribes, hospital informatics teams. Not intended for patient-facing use."
,Out-of-scope use cases,"Describe any uses, domains, or environments where the system is not intended to be applied. Include foreseeable misuse scenarios that may raise safety, fairness concerns. These may include domains where the system is technically unreliable, lacks sufficient safeguards, or would create unacceptable risks.",30–50 words,"SmartAid is not approved for use with pediatric patients, psychiatric evaluations, or for autonomous operation without clinician review. It is not intended for deployment in settings lacking integrated electronic health records or in jurisdictions where health data governance requirements are unmet.",Not intended for diagnostic decision-making. Not approved for generating discharge summaries or official medical records. Not suitable for genomic or radiology reports requiring highly specialized interpretation.
Existing doc,Terms and conditions,"Existing terms and conditions document: e.g.
Usage Terms, Limitations of Liability, License Type, Third-party, Dependencies,
Privacy and Data Handling, 
Compliance Acknowledgment",25–40 words,"Use of SmartAid Clinical Triage Assistant (""SmartAid"") is restricted to certified healthcare institutions and authorized medical professionals who have completed training on system operation and oversight. By using SmartAid, users agree to operate the system within its intended clinical triage context and in accordance with all applicable medical governance protocols.

SmartAid is provided under a non-transferable, institution-specific license. Redistribution, reverse engineering, or modification of the system is prohibited. MediSense AI Inc. retains all rights, title, and interest in the system and its associated intellectual property.

MediSense AI Inc. disclaims liability for clinical decisions made without human oversight or based solely on SmartAid's outputs. Users must verify all outputs before acting upon them. The system is not intended to replace qualified clinical judgment.

SmartAid processes patient data in accordance with the Personal Information Protection and Electronic Documents Act (PIPEDA), the Health Insurance Portability and Accountability Act (HIPAA), and the California Consumer Privacy Act (CCPA). Users are responsible for configuring appropriate access controls, logging, and data governance measures.

By activating SmartAid, users affirm their acceptance of these terms and their responsibility to uphold all ethical, legal, and data protection obligations in their jurisdiction.",Licensed to hospitals on a 3-year enterprise contract. Requires on-prem deployment. Summaries are recommendations only and must be clinically verified. Data retention rules vary by client hospital; users must ensure compliance with local regulations (note: some hospitals requested retention exceptions).
,Current legal compliance status,"Indicate the system’s current status with respect to compliance with relevant AI regulations or frameworks if the system has been evaluated. Include results of any internal/external assessments, risk classification (e.g., high-risk under EU AI Act or impact assessment under AIDA), known gaps, or pending remediation steps. Cite assessment methods or tools used.",30–50 words,SmartAid is classified as a high-risk AI system under the EU AI Act due to its clinical use. It has undergone conformity assessment under ISO/IEC 23894:2023. AIDA compliance review is underway with no identified critical gaps. Privacy impact assessments comply with CCPA and PIPEDA.,"Designed to comply with PHIPA (Ontario), HIPAA, and ISO 27001 controls. Internal audit (2025-Q2) found no major violations, though documentation noted inconsistent application of access logging across two hospital partners."
